"","sourcePath","transactionId","totalConversions"
"185","bestedu.pl > onet.pl > bestedu.pl > onet.pl > (direct) > bestedu.pl > onet.pl > bestedu.pl > bestedu.pl > onet.pl > bestedu.pl > onet.pl > bestedu.pl > bestedu.pl","3b79845fd5657ada3f43944fe88bd040",1
"186","bestedu.pl > onet.pl > bestedu.pl > onet.pl > (direct) > bestedu.pl > onet.pl > bestedu.pl > bestedu.pl > onet.pl > bestedu.pl > onet.pl > bestedu.pl > bestedu.pl > (direct)","3b79845fd5657ada3f43944fe88bd040",1
"187","bestedu.pl > onet.pl > bestedu.pl > onet.pl > bestedu.pl","3b79845fd5657ada3f43944fe88bd040",1
"188","bestedu.pl > onet.pl > bestedu.pl > onet.pl > instagram > bestedu.pl > onet.pl","04cdec413b62bb7d466629dde5c409d4",1
"189","bestedu.pl > onet.pl > bestedu.pl > google > google > google > google > google > google > bestedu.pl > google > google","3b79845fd5657ada3f43944fe88bd040",1
"190","bestedu.pl > onet.pl > bestedu.pl > (direct)","429b8244fd7787c8c319931a9add2ba8",1
"191","bestedu.pl > onet.pl > bestedu.pl > (direct) > (direct) > (direct) > (direct) > niceapp.pl > (direct) > (direct) > (direct)","3b79845fd5657ada3f43944fe88bd040",1
"192","bestedu.pl > onet.pl > bestedu.pl > (direct) > (direct) > (direct) > (direct) > niceapp.pl > (direct) > (direct) > (direct) > (direct)","3b79845fd5657ada3f43944fe88bd040",1
"193","bestedu.pl > onet.pl > bestedu.pl > bestedu.pl > bestedu.pl > bestedu.pl","3b79845fd5657ada3f43944fe88bd040",1
"194","bestedu.pl > onet.pl > bestedu.pl > bestedu.pl > bestedu.pl > bestedu.pl > onet.pl","3b79845fd5657ada3f43944fe88bd040",1
"195","bestedu.pl > onet.pl > bestedu.pl > bestedu.pl > bestedu.pl > bestedu.pl > bestedu.pl","3b79845fd5657ada3f43944fe88bd040",1
"196","bestedu.pl > onet.pl > bestedu.pl > bestedu.pl > onet.pl > bestedu.pl","3b79845fd5657ada3f43944fe88bd040",1
"197","bestedu.pl > onet.pl > bestedu.pl > bestedu.pl > onet.pl > bestedu.pl > (direct) > (direct)","604e9ca598726c18f58af394383e2ec9",1
"198","bestedu.pl > onet.pl > bestedu.pl > instagram > bestedu.pl","86c94a00c08e7d7d8e5c1333fcc768d7",1
"199","bestedu.pl > onet.pl > bestedu.pl > instagram > bestedu.pl","3b79845fd5657ada3f43944fe88bd040",1
"200","bestedu.pl > onet.pl > instagram","94bfa01ac25ec30c09902b8cf1372e1a",1
"201","bestedu.pl > onet.pl > instagram > onet.pl","3b79845fd5657ada3f43944fe88bd040",1
"202","bestedu.pl > onet.pl > instagram > bestedu.pl","df61496d7a29adacfb09c012cda162bb",1
"203","bestedu.pl > onet.pl > librus.pl > (direct) > bestedu.pl > onet.pl > google","3b79845fd5657ada3f43944fe88bd040",1
"204","bestedu.pl > onet.pl > librus.pl > (direct) > bestedu.pl > onet.pl > google > google","3b79845fd5657ada3f43944fe88bd040",1
"205","bestedu.pl > onet.pl > librus.pl > (direct) > bestedu.pl > onet.pl > google > google > google > onet.pl","3b79845fd5657ada3f43944fe88bd040",1
"206","bestedu.pl > onet.pl > librus.pl > (direct) > bestedu.pl > onet.pl > google > google > google > onet.pl > (direct)","3b79845fd5657ada3f43944fe88bd040",1
"207","bestedu.pl > bing","7e7226e79880965d6184723e2c6fb2a6",1
"208","bestedu.pl > bing","c8c31eb7be403034833559b381afa9bc",1
"209","bestedu.pl > facebook","3b79845fd5657ada3f43944fe88bd040",1
"210","bestedu.pl > google","c6462eb2854f0a4af52040c7154fe34b",1
"211","bestedu.pl > google","9f7d69fc9afa61163b2412266f09b0d2",1
"212","bestedu.pl > google","e5f5f52ae554f51cb90db68f6552511b",1
"213","bestedu.pl > google","3104ddb6599d093d556a898a1b77b4c7",1
"214","bestedu.pl > google","dd684e5fe51b15f5b7f197fcbd5a8854",1
"215","bestedu.pl > google","b1e2e7b714634e4a80620542eacfca40",1
"216","bestedu.pl > google","8e79f850b883668d12b12228ba042663",1
"217","bestedu.pl > google","41a72e4bf94d2627d938ada9f6b8a910",1
"218","bestedu.pl > google","2a945adb1978d82e056a78b3813e1228",1
"219","bestedu.pl > google","2dc8ef86d3ae4c2140308d1152871858",1
"220","bestedu.pl > google","3bf85e0308ab43781702bffd66b3fc81",1
"221","bestedu.pl > google","4f892c235ad2f65ef57415a41b8a3211",1
"222","bestedu.pl > google","f7b53b71b475ed85f6427e19fea0ac3f",1
"223","bestedu.pl > google","e57abcfc3cca4808c94ab3cb7042d14f",1
"224","bestedu.pl > google","a2ac2d9c4943c2fd23f9b88c58d49702",1
"225","bestedu.pl > google","de16e4ac276b9e3fcf290defcb506354",1
"226","bestedu.pl > google","5fb0c100908ca64b3a769bc20402fb23",1
"227","bestedu.pl > google","2387d4854905bc52ebbd32a399523fe0",1
"228","bestedu.pl > google","1177b3d7d301a817f6af3a0a60ced75a",1
"229","bestedu.pl > google","bd1016277c8a2adb66fc77e8b6d7e368",1
"230","bestedu.pl > google","56e3cb16b752c2962b56b64bb8b77be0",1
"231","bestedu.pl > google","0cfe52b06094a8162d0b42729612030d",1
"232","bestedu.pl > google","7f675067e35b55e90f1ad872b960adf1",1
"233","bestedu.pl > google","ab6dd04b1c443778c3e00296dbe91ceb",1
"234","bestedu.pl > google","7c830363ef9cbd5dae7802d16d9a2d40",1
"235","bestedu.pl > google","37185a1b73462542f41f649553e417ca",1
"236","bestedu.pl > google","57847d68c8d9f8f97b98ad995f0e75d9",1
"237","bestedu.pl > google","65da389b963f03621c65b632857c8f6e",1
"238","bestedu.pl > google","3a3f4b9b2c1b3bad8120a43b897a9fb3",1
"239","bestedu.pl > google","56d92d23feb183dd2d9608abcf4e0f35",1
"240","bestedu.pl > google","46502b08c59be70d750a6e705fa726d7",1
"241","bestedu.pl > google","64added8c71397c8814e80a648250a60",1
"242","bestedu.pl > google","a299b2254557c3dfdceb4eed2456e1dd",1
"243","bestedu.pl > google","d97d9454a8643c32507d1a4d7c159963",1
"244","bestedu.pl > google","672581ed0d8ecaafbbb83c25f8988035",1
"245","bestedu.pl > google","c9843d3333090c04acca54e25ce46ac9",1
"246","bestedu.pl > google","4c51ffceb7feb5223d3bf4839fd52eea",1
"247","bestedu.pl > google","ee9e0ec5dad49db3fe8bbd31cbe369d2",1
"248","bestedu.pl > google","222035bbd6f8f02a609e93cbda7f76f4",1
"249","bestedu.pl > google","ea0053d863ec841fc595d04a8ac6a9f7",1
"250","bestedu.pl > google","ff37d91a6a22d87813c2eef6e54e48c2",1
"251","bestedu.pl > google","41620d17754930638864c9c2aed7a250",1
"252","bestedu.pl > google","6be0f6dd7fbe9e7efde00ea0253f1b8a",1
"253","bestedu.pl > google","74d04d78a703d2e1661f604074ac16ae",1
"254","bestedu.pl > google","59af9317ac61ee3b8376bebef42fba80",1
"255","bestedu.pl > google","dd9d8308ab17e91e9169a4e797d4405d",1
"256","bestedu.pl > google","8600d1a19378ce4fd61d8d537e9448b8",1
"257","bestedu.pl > google","c05834b7eaf196400c9b575507d3e519",1
"258","bestedu.pl > google","ee8d9a9d4440938ce77b75c18eac717b",1
"259","bestedu.pl > google","0ec82df14281997fec26a7b6b012b4eb",1
"260","bestedu.pl > google","d4126e5116765988928ccd44413c3931",1
"261","bestedu.pl > google","5bd0ff7ab780938f44f1177e63592801",1
"262","bestedu.pl > google","7e827bcef7517c6d0af54896815c78dd",1
"263","bestedu.pl > google","c4dddf029ceddfda8bcc13efaff87173",1
"264","bestedu.pl > google","19846e0f9aee8d6119e64e474376ef36",1
"265","bestedu.pl > google > fb > google","3b79845fd5657ada3f43944fe88bd040",1
"266","bestedu.pl > google > fb > google > facebook.com","78b2e539ffd27e0d5595c24dbf536366",1
"267","bestedu.pl > google > onet.pl","a397002957b4aa622c57a016a6c3ab52",1
"268","bestedu.pl > google > onet.pl","e2e8f85674c72246bcac4bfe7127b7e4",1
"269","bestedu.pl > google > onet.pl > google > google","3b79845fd5657ada3f43944fe88bd040",1
"270","bestedu.pl > google > onet.pl > (direct)","31ed7808e07ac81904f559a87137b8cc",1
"271","bestedu.pl > google > onet.pl > (direct) > (direct)","fc4d968cc50d259d11ed92056c28cf6e",1
"272","bestedu.pl > google > onet.pl > (direct) > bestedu.pl > (direct)","3b79845fd5657ada3f43944fe88bd040",1
"273","bestedu.pl > google > onet.pl > bestedu.pl","3b79845fd5657ada3f43944fe88bd040",1
"274","bestedu.pl > google > onet.pl > bestedu.pl > onet.pl","3b79845fd5657ada3f43944fe88bd040",1
"275","bestedu.pl > google > google","2b0af8b8d6729c49260d6a16959c1207",1
"276","bestedu.pl > google > google","2a945adb1978d82e056a78b3813e1228",1
"277","bestedu.pl > google > google","4fa3379ee19c1c008b4f985da48de353",1
"278","bestedu.pl > google > google","49fa827124c392bd44002d5e94298ac9",1
"279","bestedu.pl > google > google","79dc0455b002b00cf67a8725438e8dd0",1
"280","bestedu.pl > google > google","3bb3c71d4f910171dccdfbe47fc456c7",1
